0.00 ,51.45 
0.20 ,38.75 
0.30 ,33.20 
0.40 ,26.26 
0.50 ,19.48 
0.60 ,15.73 
0.70 ,8.656 
0.80 ,5.280 
0.90 ,2.948 
1.00 ,0.643 
1.10 ,0.188 
1.20 ,0.107 
1.30 ,0.038 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
